5.000000000000000000e-01 9.901263750000000000e+05
5.101010101010100550e-01 8.580231875000000000e+05
5.202020202020202211e-01 8.636807500000000000e+05
5.303030303030302761e-01 7.008855000000000000e+05
5.404040404040404422e-01 5.611545000000000000e+05
5.505050505050504972e-01 4.531320000000000000e+05
5.606060606060605522e-01 3.884972187500000000e+05
5.707070707070707183e-01 3.906040312500000000e+05
5.808080808080807733e-01 4.945874375000000000e+05
5.909090909090909394e-01 5.200784062500000000e+05
6.010101010101009944e-01 5.986880000000000000e+05
6.111111111111111605e-01 6.135531875000000000e+05
6.212121212121212155e-01 7.097968750000000000e+05
6.313131313131312705e-01 6.869874375000000000e+05
6.414141414141414366e-01 7.270549375000000000e+05
6.515151515151514916e-01 6.981583125000000000e+05
6.616161616161616577e-01 6.167121250000000000e+05
6.717171717171717127e-01 5.670128750000000000e+05
6.818181818181818787e-01 5.241905937500000000e+05
6.919191919191919338e-01 4.469586562500000000e+05
7.020202020202019888e-01 4.431505312500000000e+05
7.121212121212121549e-01 3.733597500000000000e+05
7.222222222222222099e-01 3.097733125000000000e+05
7.323232323232323759e-01 2.739350937500000000e+05
7.424242424242424310e-01 2.313075781250000000e+05
7.525252525252525970e-01 2.305985468750000000e+05
7.626262626262626521e-01 2.314930625000000000e+05
7.727272727272727071e-01 2.678019687500000000e+05
7.828282828282828731e-01 3.332266250000000000e+05
7.929292929292929282e-01 4.175208750000000000e+05
8.030303030303029832e-01 5.387240625000000000e+05
8.131313131313131493e-01 6.439923750000000000e+05
8.232323232323233153e-01 7.144983125000000000e+05
8.333333333333333703e-01 8.387958750000000000e+05
8.434343434343434254e-01 9.423973125000000000e+05
8.535353535353535914e-01 1.069074875000000000e+06
8.636363636363636465e-01 1.134659250000000000e+06
8.737373737373737015e-01 1.200594500000000000e+06
8.838383838383838675e-01 1.359837875000000000e+06
8.939393939393940336e-01 1.451439625000000000e+06
9.040404040404040886e-01 1.469379500000000000e+06
9.141414141414141437e-01 1.528531250000000000e+06
9.242424242424243097e-01 1.646786625000000000e+06
9.343434343434343647e-01 1.842887625000000000e+06
9.444444444444444198e-01 1.781501750000000000e+06
9.545454545454545858e-01 1.714056125000000000e+06
9.646464646464647519e-01 1.590153250000000000e+06
9.747474747474748069e-01 1.579597000000000000e+06
9.848484848484848619e-01 1.512476500000000000e+06
9.949494949494950280e-01 1.276015875000000000e+06
1.005050505050505194e+00 1.107739875000000000e+06
1.015151515151515138e+00 9.742605625000000000e+05
1.025252525252525304e+00 7.151800000000000000e+05
1.035353535353535470e+00 5.152038437500000000e+05
1.045454545454545414e+00 3.224185937500000000e+05
1.055555555555555580e+00 9.343264062500000000e+04
1.065656565656565746e+00 1.131366953125000000e+05
1.075757575757575690e+00 2.954587812500000000e+05
1.085858585858585856e+00 4.250706250000000000e+05
1.095959595959596022e+00 5.651576250000000000e+05
1.106060606060605966e+00 6.852716250000000000e+05
1.116161616161616355e+00 7.676388125000000000e+05
1.126262626262626299e+00 8.426191250000000000e+05
1.136363636363636465e+00 8.755935000000000000e+05
1.146464646464646631e+00 9.127882500000000000e+05
1.156565656565656575e+00 1.018866625000000000e+06
1.166666666666666741e+00 1.049399250000000000e+06
1.176767676767676907e+00 1.169649625000000000e+06
1.186868686868686851e+00 1.173201625000000000e+06
1.196969696969697017e+00 1.173995375000000000e+06
1.207070707070707183e+00 1.130092250000000000e+06
1.217171717171717127e+00 9.312310000000000000e+05
1.227272727272727293e+00 8.006670000000000000e+05
1.237373737373737459e+00 6.000669375000000000e+05
1.247474747474747403e+00 4.230248125000000000e+05
1.257575757575757791e+00 2.314548906250000000e+05
1.267676767676767735e+00 2.146736093750000000e+05
1.277777777777777679e+00 3.717825937500000000e+05
1.287878787878788067e+00 5.367299375000000000e+05
1.297979797979798011e+00 6.626828125000000000e+05
1.308080808080808177e+00 7.882887500000000000e+05
1.318181818181818343e+00 7.559180625000000000e+05
1.328282828282828287e+00 8.544651875000000000e+05
1.338383838383838453e+00 7.282308125000000000e+05
1.348484848484848619e+00 6.078343750000000000e+05
1.358585858585858563e+00 4.870205625000000000e+05
1.368686868686868729e+00 3.578848125000000000e+05
1.378787878787878896e+00 2.601004062500000000e+05
1.388888888888888840e+00 3.004186562500000000e+05
1.398989898989899228e+00 3.977859687500000000e+05
1.409090909090909172e+00 5.343350000000000000e+05
1.419191919191919116e+00 6.285080625000000000e+05
1.429292929292929504e+00 6.590658125000000000e+05
1.439393939393939448e+00 6.894506250000000000e+05
1.449494949494949614e+00 7.043747500000000000e+05
1.459595959595959780e+00 6.595432500000000000e+05
1.469696969696969724e+00 5.515038750000000000e+05
1.479797979797979890e+00 4.667127812500000000e+05
1.489898989898990056e+00 4.182945312500000000e+05
1.500000000000000000e+00 4.073184062500000000e+05
