5.000000000000000000e-01 3.324798400000000000e+07
5.101010101010100550e-01 3.121328000000000000e+07
5.202020202020202211e-01 3.024818200000000000e+07
5.303030303030302761e-01 3.107900200000000000e+07
5.404040404040404422e-01 3.499365600000000000e+07
5.505050505050504972e-01 3.730060800000000000e+07
5.606060606060605522e-01 3.839055200000000000e+07
5.707070707070707183e-01 3.630976800000000000e+07
5.808080808080807733e-01 3.457367600000000000e+07
5.909090909090909394e-01 3.633260400000000000e+07
6.010101010101009944e-01 3.987470400000000000e+07
6.111111111111111605e-01 4.385591200000000000e+07
6.212121212121212155e-01 4.472962800000000000e+07
6.313131313131312705e-01 4.372911600000000000e+07
6.414141414141414366e-01 4.357554000000000000e+07
6.515151515151514916e-01 4.375471600000000000e+07
6.616161616161616577e-01 4.847660400000000000e+07
6.717171717171717127e-01 5.117914800000000000e+07
6.818181818181818787e-01 5.526588800000000000e+07
6.919191919191919338e-01 5.549269600000000000e+07
7.020202020202019888e-01 5.727144800000000000e+07
7.121212121212121549e-01 5.793017200000000000e+07
7.222222222222222099e-01 6.176715200000000000e+07
7.323232323232323759e-01 6.754415200000000000e+07
7.424242424242424310e-01 7.362072800000000000e+07
7.525252525252525970e-01 7.810006400000000000e+07
7.626262626262626521e-01 7.977275200000000000e+07
7.727272727272727071e-01 8.451813600000000000e+07
7.828282828282828731e-01 8.823132000000000000e+07
7.929292929292929282e-01 9.439885600000000000e+07
8.030303030303029832e-01 1.014764480000000000e+08
8.131313131313131493e-01 1.074689200000000000e+08
8.232323232323233153e-01 1.096203920000000000e+08
8.333333333333333703e-01 1.098784800000000000e+08
8.434343434343434254e-01 1.039676000000000000e+08
8.535353535353535914e-01 9.931148800000000000e+07
8.636363636363636465e-01 9.356784000000000000e+07
8.737373737373737015e-01 8.896911200000000000e+07
8.838383838383838675e-01 8.353626400000000000e+07
8.939393939393940336e-01 7.674058400000000000e+07
9.040404040404040886e-01 6.907906400000000000e+07
9.141414141414141437e-01 6.204352800000000000e+07
9.242424242424243097e-01 5.513977600000000000e+07
9.343434343434343647e-01 4.937724400000000000e+07
9.444444444444444198e-01 4.392762800000000000e+07
9.545454545454545858e-01 4.077239200000000000e+07
9.646464646464647519e-01 3.776718400000000000e+07
9.747474747474748069e-01 3.472828000000000000e+07
9.848484848484848619e-01 3.260524000000000000e+07
9.949494949494950280e-01 3.124532000000000000e+07
1.005050505050505194e+00 2.895084400000000000e+07
1.015151515151515138e+00 2.664596400000000000e+07
1.025252525252525304e+00 2.448497000000000000e+07
1.035353535353535470e+00 2.178645200000000000e+07
1.045454545454545414e+00 1.958351200000000000e+07
1.055555555555555580e+00 1.848670800000000000e+07
1.065656565656565746e+00 1.646063100000000000e+07
1.075757575757575690e+00 1.507862800000000000e+07
1.085858585858585856e+00 1.392813100000000000e+07
1.095959595959596022e+00 1.283497400000000000e+07
1.106060606060605966e+00 1.224222700000000000e+07
1.116161616161616355e+00 1.139722300000000000e+07
1.126262626262626299e+00 1.074351900000000000e+07
1.136363636363636465e+00 1.007352900000000000e+07
1.146464646464646631e+00 9.553188000000000000e+06
1.156565656565656575e+00 9.107033000000000000e+06
1.166666666666666741e+00 8.588308000000000000e+06
1.176767676767676907e+00 8.031017500000000000e+06
1.186868686868686851e+00 7.457238000000000000e+06
1.196969696969697017e+00 6.843003000000000000e+06
1.207070707070707183e+00 6.440854000000000000e+06
1.217171717171717127e+00 6.042422000000000000e+06
1.227272727272727293e+00 5.495926500000000000e+06
1.237373737373737459e+00 5.021302500000000000e+06
1.247474747474747403e+00 4.527017500000000000e+06
1.257575757575757791e+00 4.185890500000000000e+06
1.267676767676767735e+00 3.761995250000000000e+06
1.277777777777777679e+00 3.379540500000000000e+06
1.287878787878788067e+00 3.082885250000000000e+06
1.297979797979798011e+00 2.808722250000000000e+06
1.308080808080808177e+00 2.710215750000000000e+06
1.318181818181818343e+00 2.644681500000000000e+06
1.328282828282828287e+00 2.638775500000000000e+06
1.338383838383838453e+00 2.603271500000000000e+06
1.348484848484848619e+00 2.540108500000000000e+06
1.358585858585858563e+00 2.428918500000000000e+06
1.368686868686868729e+00 2.204502500000000000e+06
1.378787878787878896e+00 1.878985750000000000e+06
1.388888888888888840e+00 1.513932250000000000e+06
1.398989898989899228e+00 1.183564250000000000e+06
1.409090909090909172e+00 1.003692062500000000e+06
1.419191919191919116e+00 1.038494062500000000e+06
1.429292929292929504e+00 1.146391875000000000e+06
1.439393939393939448e+00 1.138117500000000000e+06
1.449494949494949614e+00 1.000466750000000000e+06
1.459595959595959780e+00 7.467657500000000000e+05
1.469696969696969724e+00 5.110183125000000000e+05
1.479797979797979890e+00 5.088600312500000000e+05
1.489898989898990056e+00 5.880400625000000000e+05
1.500000000000000000e+00 5.723902500000000000e+05
